id,date,num_day_of_week,day_of_week,plays,likes,comments,reach,saved,shares,total_interactions,permalink,caption,hashtags,hour posted
17877165770251528,2021-03-25,3,Thurs,783,198,1,746,1,2,202,https://www.instagram.com/reel/CM15ALphrl7/,"Matcha Latte

#matcha #matchalatte #matchalover #matcharecipes #matchagreentea #latte #lattelove #lattegram #galulab #barista #baristalife #baristadaily #coffee #caffeineaddict",14,12
17865548927371449,2021-03-30,1,Tues,2298,181,0,2298,3,1,185,https://www.instagram.com/reel/CNCyaGAH-3a/,"Butterfly Pea Tea Latte 🦋 

-Milk
-Brown Sugar Cinnamon Syrup
-Ice
-Butterfly Pea Tea

#latte #gaulab #mixology #brewing #teatime #lattegram #lattelove #butterflypeaflower #butterflypeatea",9,12
18138970360161828,2021-03-31,2,Weds,985,195,0,906,5,3,203,https://www.instagram.com/reel/CNFW6oznspc/,"Caramel Frappe 

-Ice
-Coffee
-Caramel
-Xanthan Gum
-Milk

#galulab #frappe #frappuccino #frappé #caramel #caramelfrappe #caramelcoffee #caramelfrappuccino #coffee #coffeelover #coffeetime #coffeeaddict",12,12
17867279756434958,2021-04-01,3,Thurs,1057,244,4,975,7,8,263,https://www.instagram.com/reel/CNIr5iWnlJL/,"BPT Lemonade 🦋 🍋 

#bpt #butterflypeaflower #butterflypeatea #lemonade #mixology #lemon #lemondrink #galulab #drinkstagram #drinks",10,19
18087997126247426,2021-04-02,4,Fri,1955,195,2,1875,6,4,207,https://www.instagram.com/reel/CNLjJQXnNC4/,"Coffee Rum

-Coffee
-Rum
-Cinnamon Syrup
-Ice

#coffeerum #coffeedrink #rum #coffeelover #coffeemixology #mixology #rumlovers #galulab",8,22
17842297982578353,2021-04-03,5,Sat,994,232,4,939,5,5,246,https://www.instagram.com/reel/CNNXA0XnD_-/,"Pumpkin Pie Iced Latte

-Ice
-Cold Brew Concentrate
-Pumpkin Spice Syrup
-Milk

#pumpkinpie #pumpkinpiespice #pumpkinlatte #pumpkinspicelatte #pumpkinpielatte #latte #lattelove #icedlatte #icedlatteaddict",9,15
17956429033417503,2021-04-04,6,Sun,1317,267,3,1266,9,18,297,https://www.instagram.com/reel/CNPvdUdH1Vk/,"Strawberry Basil Mojito

-frozen strawberries 
-basil
-honey
-ice
-lemon
-rum
-soda

#galulab #mojito #mojitotime #strawberrymojito #strawberrybasilmojito #mixology #mixologist #mixologyart #bartender",9,13
17910386635698062,2021-04-05,0,Mon,1316,303,7,1209,13,13,336,https://www.instagram.com/reel/CNSKaN_nmyd/,"Blueberry Iced Latte 🫐 

-blueberry 
-sugar
-water
-ice
-milk
-cold brew

#galulab #coffee #coldbrew #coldbrewcoffee #blueberry #latte #coffeelover #latteartgram #milk",9,12
17906758939792133,2021-04-06,1,Tues,2464,248,4,2437,6,10,268,https://www.instagram.com/reel/CNUzAednOWE/,"Black Lavender Boba Tea🧋 

-boba
-ice
-lavender syrup
-black tea
-milk

#boba #galulab #bobatea #bobamilktea #blacktea #lavender #blackmilktea #milktea #tealover #bobatealover",10,12
18005639230312119,2021-04-08,3,Thurs,913,170,8,847,3,0,181,https://www.instagram.com/reel/CNaErhdHC3E/,"Rum Sour 

-aquafaba
-lemon
-rum
-honey
-ice 
-flower bitters

#galulab #rumsour #rum #mixology #rumcocktails #whiskysour #mixologist #flordecaña #mountainelixirs #strongwatermountainelixirs",10,13
17956886152422156,2021-04-09,4,Fri,980,153,4,932,3,0,160,https://www.instagram.com/reel/CNch72snEUl/,"Vietnamese Coffee ☕️ 

-condensed milk
-coffee

#vietnamesecoffee #coffee #galulab #mixology #coffeelover #coffeetime #coffeeaddict #espresso #aeropress #condensedmilk @aeropress",10,12
17867107580445557,2021-04-10,5,Sat,2833,219,5,2772,9,1,234,https://www.instagram.com/reel/CNfgpUhnx9p/,"Michelada de Maracuya

-tajin rim
-ice
-lemon
-Worcestershire 
-hot sauce
-passionfruit juice
-lagger

#michelada #mixology #galulab #heineken #worcestershire #beer #micheladas #beerstagram #beerlover @heineken #beerme",10,16
17896304584962552,2021-04-12,0,Mon,962,188,3,923,5,1,197,https://www.instagram.com/reel/CNkZNaRndov/,"Peppermint Mocha Iced Latte 

-ice
-peppermint syrup
-chocolate sauce
-coffee

#peppermint #galulab #peppermintmocha #mintcoffee #coffee #mocha #coffeelover #coffeetime",8,14
17894593024921843,2021-04-13,1,Tues,3627,281,7,3578,23,24,335,https://www.instagram.com/reel/CNm1n7_nVVi/,"Color Changing Margarita 💙->💗

-Butterfly Pea Tea
-Honey
-Tequila
-Tajin Rim
-Ice
-Lemon

#margarita #margaritatime #butterflypeaflower #mixology #bartender #mixology #galulab",7,12
17889011900108537,2021-04-15,3,Thurs,2319,213,7,2307,11,2,233,https://www.instagram.com/reel/CNr9guRnl7x/,"Cinnamon Brown Sugar Boba Coffee

-boba
-cinnamon brown sugar syrup
-ice
-milk
-coffee

#cinnamonsugar #brownsugarboba #brownsugarmilktea #coffee #coffeelover #coffeetime #boba #bobatea #bobalife #cinnamonbrownsugar",10,12
